"date","samples","bases sequenced (MB)"
"2019-03-22","12",118524.90999999997
"2019-03-25","8",4631.87
"2019-03-27","12",175398.25
"2019-03-29","35",48976.820000000014
"2019-04-02","34",49702.11000000001
"2019-04-03","12",137298.37
"2019-04-05","35",53696.21999999999
"2019-04-08","8",5120.57
"2019-04-10","12",141617.91
"2019-04-11","8",4034.55
"2019-04-12","35",52808.60000000001
"2019-04-23","35",52894.17000000001
"2019-04-25","12",142944.33
"2019-04-29","8",5212.509999999999
"2019-04-30","12",143560.58000000002
"2019-05-07","8",5426.5599999999995
"2019-05-07","35",54131.61
"2019-05-08","12",146789.89
"2019-05-08","8",4357
"2019-05-10","35",51646.15999999999
"2019-05-13","8",4869.01
"2019-05-15","34",53284.20000000001
"2019-05-17","12",159198.52000000002
"2019-05-22","35",49970.94000000001
"2019-05-23","8",5226.700000000001
"2019-05-24","12",164922.71
"2019-05-27","35",50534.50999999999
"2019-05-28","8",4439.9800000000005
"2019-05-29","12",170364.14
"2019-06-03","8",4337.83
"2019-06-03","35",52238.06
"2019-06-05","16",47293.700000000004
"2019-06-06","8",4807.879999999999
"2019-06-07","35",51664.71
"2019-06-14","8",3784.6499999999996
"2019-06-14","12",159971.62000000002
"2019-06-17","35",51138.5
"2019-06-20","35",51237.2
"2019-06-21","12",159001.07
"2019-06-26","32",51031.94
"2019-06-28","12",163117.27
"2019-07-01","12",150458.56999999998
"2019-07-02","8",4922.54
"2019-07-02","8",4592.1
"2019-07-03","35",50708.23
"2019-07-05","12",158198.72999999998
"2019-07-09","12",153772.71000000002
"2019-07-10","8",5014.49
"2019-07-11","8",4837.340000000001
"2019-07-11","32",53019.720000000016
"2019-07-15","12",159866.15000000002
"2019-07-17","8",3966.37
"2019-07-17","36",50902.99000000002
"2019-07-19","12",118189.27
"2019-07-24","8",4713.07
"2019-07-25","36",48932.2
"2019-07-25","8",4801.01
"2019-07-29","12",156721.47
"2019-08-02","12",137096.4
"2019-08-05","8",4792.57
"2019-08-05","35",46610.34
"2019-08-08","35",47161.17
"2019-08-13","12",133431.09
"2019-08-19","35",49086.38
"2019-08-22","8",4884.66
"2019-08-23","16",276621.67
"2019-08-23","12",168652.24999999997
"2019-08-23","38",76766.84999999998
"2019-08-27","38",48296.91
"2019-08-29","8",4857.049999999999
"2019-08-30","12",174391.07
"2019-09-04","37",46333.97
"2019-09-06","15",90533.44
"2019-09-06","16",297245.19000000006
"2019-09-06","12",168117.57000000004
"2019-09-10","36",54729.34
"2019-09-11","8",4601.650000000001
"2019-09-13","12",164682.21
"2019-09-16","37",53664.65000000001
"2019-09-18","8",5156.41
"2019-09-19","8",5242.85
"2019-09-19","37",51880.46
"2019-09-23","8",4747.51
"2019-09-23","8",3894.7799999999997
"2019-09-23","12",165359.24000000002
"2019-09-27","37",53057.340000000004
"2019-10-01","12",177150.61000000002
"2019-10-04","37",51498.399999999994
"2019-10-08","8",4564.1900000000005
"2019-10-09","8",5140.31
"2019-10-09","34",58793.07
"2019-10-09","8",5331.73
"2019-10-10","12",199487.33
